Zeit	KanalA	KanalB
36.47999978	227.88170000	232.20010000
36.55999978	227.88170000	232.20010000
36.63999978	227.88170000	227.74440000
36.71999978	227.88170000	227.74440000
36.79999978	227.88170000	232.20010000
36.87999978	227.88170000	232.20010000
36.95999978	227.88170000	232.20010000
37.03999977	227.88170000	232.20010000
37.11999977	227.88170000	227.74440000
37.19999977	227.88170000	232.20010000
37.27999977	227.88170000	232.20010000
37.35999977	232.33740000	232.20010000
37.43999977	227.88170000	227.74440000
37.51999977	227.88170000	227.74440000
37.59999977	227.88170000	232.20010000
37.67999977	227.88170000	227.74440000
37.75999977	227.88170000	227.74440000
37.83999977	232.33740000	232.20010000
37.91999977	227.88170000	232.20010000
37.99999977	227.88170000	232.20010000
38.07999977	232.33740000	227.74440000
38.15999977	232.33740000	232.20010000
38.23999977	232.33740000	227.74440000
38.31999977	227.88170000	232.20010000
38.39999977	232.33740000	232.20010000
38.47999977	227.88170000	227.74440000
38.55999977	227.88170000	227.74440000
38.63999977	227.88170000	227.74440000
38.71999976	227.88170000	227.74440000
38.79999976	227.88170000	227.74440000
38.87999976	227.88170000	227.74440000
38.95999976	227.88170000	227.74440000
39.03999976	227.88170000	227.74440000
39.11999976	227.88170000	232.20010000
39.19999976	241.24880000	241.12670000
39.27999976	245.70450000	245.59770000
39.35999976	245.70450000	245.59770000
39.43999976	232.33740000	232.20010000
39.51999976	227.88170000	227.74440000
39.59999976	227.88170000	227.74440000
39.67999976	227.88170000	227.74440000
39.75999976	236.79310000	236.67100000
39.83999976	236.79310000	236.67100000
39.91999976	232.33740000	232.20010000
39.99999976	227.88170000	227.74440000
40.07999976	227.88170000	227.74440000
40.15999976	232.33740000	232.20010000
40.23999976	232.33740000	236.67100000
40.31999975	232.33740000	232.20010000
40.39999975	227.88170000	227.74440000
40.47999975	227.88170000	227.74440000
40.55999975	227.88170000	232.20010000
40.63999975	232.33740000	232.20010000
40.71999975	232.33740000	232.20010000
40.79999975	227.88170000	232.20010000
40.87999975	227.88170000	227.74440000
40.95999975	227.88170000	232.20010000
41.03999975	232.33740000	232.20010000
41.11999975	232.33740000	232.20010000
41.19999975	227.88170000	232.20010000
41.27999975	227.88170000	227.74440000
41.35999975	227.88170000	227.74440000
41.43999975	232.33740000	232.20010000
41.51999975	232.33740000	232.20010000
41.59999975	227.88170000	227.74440000
41.67999975	232.33740000	227.74440000
41.75999975	227.88170000	227.74440000
41.83999975	232.33740000	232.20010000
41.91999975	232.33740000	232.20010000
41.99999974	227.88170000	232.20010000
42.07999974	227.88170000	227.74440000
42.15999974	227.88170000	232.20010000
42.23999974	227.88170000	232.20010000
42.31999974	227.88170000	227.74440000
42.39999974	232.33740000	232.20010000
42.47999974	232.33740000	227.74440000
42.55999974	227.88170000	227.74440000
42.63999974	227.88170000	227.74440000
42.71999974	232.33740000	232.20010000
42.79999974	232.33740000	232.20010000
42.87999974	232.33740000	232.20010000
42.95999974	232.33740000	232.20010000
43.03999974	227.88170000	232.20010000
43.11999974	227.88170000	227.74440000
43.19999974	232.33740000	227.74440000
43.27999974	227.88170000	232.20010000
43.35999974	232.33740000	232.20010000
